Name,Team,pff_id,pff_franchise_id,ID,player_id,contract_id,team_id,Position,Role,Year,BS,PB,RB,PGRB,WO,OB,option_bonus,restructure_bonus,CP,DM,CS,GBS,VGBS,Notes,CshBns,Cshpay,Cshtocp,tb,initial_cash,old_money,cash_dead,Status,contract_type,provisional,credits,is_split_salary
Demetrius Flannigan-Fowles,49ers,49231,28,74109,8213,35863,31,LB,Defense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Kevin Givens,49ers,28308,28,74110,8215,35864,31,DT,Defense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
JaMycal Hasty,49ers,25582,28,74111,9172,35865,31,RB,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Jauan Jennings,49ers,48027,28,74112,8957,35866,31,WR,Offense,2022,825000,0,0,0,0,0,0,0,825000,0,0,0,0,,0,825000,0,,825000,0,0,Active,ERFA,,0,1
Harold Landry,Titans,48600,31,74113,6926,35867,12,EDGE,Defense,2022,1250000,3800000,0,0,0,0,0,0,5050000,0,0,1250000,0,,19000000,20250000,0,,20250000,0,0,Active,UFA,,0,0
Harold Landry,Titans,48600,31,74114,6926,35867,12,EDGE,Defense,2023,15000000,3800000,0,0,0,0,0,0,18800000,0,0,15000000,0,,0,15000000,0,,15000000,0,0,Active,UFA,,0,0
Harold Landry,Titans,48600,31,74115,6926,35867,12,EDGE,Defense,2024,17250000,3800000,0,0,0,0,0,0,21050000,0,0,0,17250000,,0,17250000,0,,17250000,0,0,Active,UFA,,0,0
Harold Landry,Titans,48600,31,74116,6926,35867,12,EDGE,Defense,2025,17500000,3800000,0,0,0,0,0,0,21300000,0,0,0,0,,0,17500000,0,,17500000,0,0,Active,UFA,,0,0
Harold Landry,Titans,48600,31,74117,6926,35867,12,EDGE,Defense,2026,17500000,3800000,0,0,0,0,0,0,21300000,0,0,0,0,,0,17500000,0,,17500000,0,0,Active,UFA,,0,0
Logan Woodside,Titans,46517,31,74118,7134,35868,12,QB,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Teair Tart,Titans,82261,31,74119,9303,35869,12,DT,Defense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Nick Westbrook-Ikhine,Titans,47861,31,74120,9304,35870,12,WR,Offense,2022,895000,0,0,0,0,0,0,0,895000,0,0,0,0,,0,895000,0,,895000,0,0,Active,ERFA,,0,0
Carson Wentz,Commanders,10636,32,74124,4715,35871,20,QB,Offense,2022,22001000,0,6294118,0,0,0,0,0,28295118,0,0,22001000,0,,0,28294119,0,,22001000,0,0,Active,Extension,,0,0
Carson Wentz,Commanders,10636,32,74125,4715,35871,20,QB,Offense,2023,20000000,0,6176471,0,0,0,0,0,26176471,0,0,0,4000000,,0,26176471,0,,25000000,0,0,Active,Extension,,0,0
Carson Wentz,Commanders,10636,32,74126,4715,35871,20,QB,Offense,2024,21000000,0,6235294,0,0,0,0,0,27235294,0,0,0,0,,0,27235294,0,,26000000,0,0,Active,Extension,,0,0
Noah Brown,Cowboys,11993,9,74127,5825,35872,18,WR,Offense,2022,1035000,152500,0,0,0,0,0,0,1047500,0,0,150000,0,,152500,1187500,0,,1187500,0,0,Active,UFA,,0,0
